CODIGO,DESCRIPCION,FECHA,ANIO,MES,DIA,DIA_SEMANA,VENTAS,TOTAL_VENDIDO,PRECIO_PROMEDIO,FRECUENCIA,HUBO_PROMOCION,TEMPORADA,fecha,target,lag_1,lag_2,lag_3,lag_6,mean_3,mean_6,growth_ratio,VENTAS_LOG,TOTAL_LOG,PRECIO_LOG,mes_sin,mes_cos,cluster,target_class,prob,decision,pred_sales,error_stock
707,"PIN CHAVETA PC#1 1/4x3.1/2""",16/03/2026,2026,3,16,1,8.0,20800.0,2600.0,4,0,Baja,2026-03-16,5200.0,20729.8,5200.0,2600.0,7800.0,9509.933333333332,8659.633333333333,0.25,2.1972245773362196,9.942756341456828,7.8636512654486515,1.0,6.123233995736766e-17,0,0,0.484509536481886,Mantener,,
708,"PIN CHAVETA PC#2  1/4x3""",31/07/2025,2025,7,31,4,70.0,133000.0,1900.0,29,0,Media,2025-07-31,5700.0,15200.0,26.0,3800.0,30400.0,6342.0,13004.333333333334,0.04285714285714286,4.2626798770413155,11.798111925972618,7.550135342488429,-0.4999999999999997,-0.8660254037844388,0,0,0.07371978160452107,Mantener,,
708,"PIN CHAVETA PC#2  1/4x3""",15/10/2025,2025,10,15,3,8.0,13600.0,1700.0,8,0,Baja,2025-10-15,3000.0,23900.0,38000.0,114000.0,133000.0,58633.333333333336,53333.333333333336,0.22058823529411764,2.1972245773362196,9.517898598432753,7.438971592395862,-0.8660254037844386,0.5000000000000001,0,0,0.6313253717874315,Reforzar stock,,
709,"PIN CHAVETA PC#3  1/4x2""",12/11/2025,2025,11,12,3,4.0,6350.0,1587.5,4,0,Alta,2025-11-12,1550.0,6200.0,18400.0,10267.32,3300.0,11622.44,13794.553333333335,0.2440944881889764,1.6094379124341003,8.756367559802975,7.370545453709571,-0.5000000000000004,0.8660254037844384,0,0,0.6521169675079548,Reforzar stock,,
709,"PIN CHAVETA PC#3  1/4x2""",7/02/2026,2026,2,7,6,24.0,37200.0,1550.0,12,0,Baja,2026-02-07,3200.0,1550.0,1550.0,6350.0,10267.32,3150.0,7386.22,0.08602150537634409,3.2188758248682006,10.524090921620362,7.346655163176539,0.8660254037844386,0.5000000000000001,0,0,0.2130621718051584,Mantener,,
710,"PIN CHAVETA PC#4 1/4x2.1/2""",31/01/2026,2026,1,31,6,10.0,16000.0,1600.0,5,0,Baja,2026-01-31,19200.0,3200.0,4800.0,1600.0,9200.0,3200.0,4783.333333333333,1.2,2.3978952727983707,9.680406499268875,7.3783837129967145,0.49999999999999994,0.8660254037844387,0,1,0.5631383070556306,Mantener,,
710,"PIN CHAVETA PC#4 1/4x2.1/2""",16/02/2026,2026,2,16,1,14.0,25900.0,1850.0,7,0,Baja,2026-02-16,7400.0,7400.0,30380.7,19200.0,4800.0,18993.566666666666,13496.783333333333,0.2857142857142857,2.70805020110221,10.16203685698089,7.523481312573497,0.8660254037844386,0.5000000000000001,0,0,0.5087618273792871,Mantener,,
711,"PIN CHAVETA PC#5 1/4x1.1/2""",13/01/2026,2026,1,13,2,12.0,19200.0,1600.0,6,0,Baja,2026-01-13,3200.0,11200.0,29.0,4.0,22.0,3744.3333333333335,4883.5,0.16666666666666666,2.5649493574615367,9.862717639992917,7.3783837129967145,0.49999999999999994,0.8660254037844387,0,0,0.4402905726870312,Mantener,,
712,"PIN CHAVETA PC#6 3/16x3""",8/08/2025,2025,8,8,5,7.0,7700.0,1100.0,7,0,Baja,2025-08-08,2200.0,11000.0,72.0,23700.0,2200.0,11590.666666666666,6862.0,0.2857142857142857,2.0794415416798357,8.94910546953925,7.00397413672268,-0.8660254037844385,-0.5000000000000004,0,0,0.5686401681454568,Mantener,,
713,"PIN CHAVETA PC#7 3/16x2.1/2""",14/01/2026,2026,1,14,3,4.0,3600.0,900.0,4,0,Baja,2026-01-14,8000.0,17700.0,2000.0,2000.0,1800.0,7233.333333333333,7250.0,2.2222222222222223,1.6094379124341003,8.188966863648876,6.803505257608338,0.49999999999999994,0.8660254037844387,0,1,0.7095290170917775,Reforzar stock,,
713,"PIN CHAVETA PC#7 3/16x2.1/2""",20/01/2026,2026,1,20,2,8.0,8000.0,1000.0,4,0,Baja,2026-01-20,1900.0,3600.0,17700.0,2000.0,17100.0,7766.666666666667,7550.0,0.2375,2.1972245773362196,8.987321812850125,6.90875477931522,0.49999999999999994,0.8660254037844387,0,0,0.6143788868597589,Reforzar stock,,
713,"PIN CHAVETA PC#7 3/16x2.1/2""",27/01/2026,2026,1,27,2,16.0,15200.0,950.0,8,0,Baja,2026-01-27,2900.0,1900.0,8000.0,3600.0,2000.0,4500.0,5866.666666666667,0.19078947368421054,2.833213344056216,9.62911649414402,6.85751406254539,0.49999999999999994,0.8660254037844387,0,0,0.36225683168347483,Mantener,,
713,"PIN CHAVETA PC#7 3/16x2.1/2""",9/03/2026,2026,3,9,1,10.0,10000.0,1000.0,5,0,Baja,2026-03-09,11400.0,5500.0,1900.0,2000.0,15200.0,3133.3333333333335,5250.0,1.14,2.3978952727983707,9.210440366976517,6.90875477931522,1.0,6.123233995736766e-17,0,1,0.48903540040368304,Mantener,,
713,"PIN CHAVETA PC#7 3/16x2.1/2""",10/03/2026,2026,3,10,2,12.0,11400.0,950.0,12,0,Baja,2026-03-10,7600.0,10000.0,5500.0,1900.0,2900.0,5800.0,4383.333333333333,0.6666666666666666,2.5649493574615367,9.34145634983372,6.85751406254539,1.0,6.123233995736766e-17,0,0,0.4557034432104279,Mantener,,
713,"PIN CHAVETA PC#7 3/16x2.1/2""",23/03/2026,2026,3,23,1,8.0,7600.0,950.0,4,0,Baja,2026-03-23,2000.0,11400.0,10000.0,5500.0,4000.0,8966.666666666666,5800.0,0.2631578947368421,2.1972245773362196,8.936035096566041,6.85751406254539,1.0,6.123233995736766e-17,0,0,0.5526925589885058,Mantener,,
714,"PIN CHAVETA PC#8 3/16x2""",28/11/2025,2025,11,28,5,11.0,11950.0,1078.57,7,0,Alta,2025-11-28,4200.0,1050.0,16800.0,21850.0,47838.0,13233.333333333334,16123.0,0.3514644351464435,2.4849066497880004,9.388570235866881,6.984318092688098,-0.5000000000000004,0.8660254037844384,0,0,0.5819186286649152,Reforzar stock,,
714,"PIN CHAVETA PC#8 3/16x2""",3/12/2025,2025,12,3,3,8.0,8400.0,1050.0,4,0,Alta,2025-12-03,13500.0,4200.0,11950.0,1050.0,4100.0,5733.333333333333,9991.666666666666,1.6071428571428572,2.1972245773362196,9.036106025364846,6.957497370876951,-2.4492935982947064e-16,1.0,0,1,0.607381750808604,Reforzar stock,,
714,"PIN CHAVETA PC#8 3/16x2""",9/12/2025,2025,12,9,2,13.0,13500.0,1035.71,7,0,Alta,2025-12-09,12600.0,8400.0,4200.0,11950.0,21850.0,8183.333333333333,10708.333333333334,0.9333333333333333,2.6390573296152584,9.510519035757246,6.943807516274634,-2.4492935982947064e-16,1.0,0,0,0.5346678802566466,Mantener,,
714,"PIN CHAVETA PC#8 3/16x2""",16/12/2025,2025,12,16,2,12.0,12600.0,1050.0,7,0,Alta,2025-12-16,5150.0,13500.0,8400.0,4200.0,16800.0,8700.0,9316.666666666666,0.4087301587301587,2.5649493574615367,9.441531454869693,6.957497370876951,-2.4492935982947064e-16,1.0,0,0,0.57366781271322,Mantener,,
714,"PIN CHAVETA PC#8 3/16x2""",22/12/2025,2025,12,22,1,5.0,5150.0,1030.0,5,0,Alta,2025-12-22,4100.0,12600.0,13500.0,8400.0,1050.0,11500.0,8616.666666666666,0.7961165048543689,1.791759469228055,8.546946149565585,6.93828448401696,-2.4492935982947064e-16,1.0,0,0,0.6715345565800722,Reforzar stock,,
714,"PIN CHAVETA PC#8 3/16x2""",12/01/2026,2026,1,12,1,7.0,7250.0,1035.71,7,0,Baja,2026-01-12,8400.0,4100.0,5150.0,12600.0,4200.0,7283.333333333333,7991.666666666667,1.1586206896551725,2.0794415416798357,8.888894669371593,6.943807516274634,0.49999999999999994,0.8660254037844387,0,1,0.5769276760369983,Mantener,,
714,"PIN CHAVETA PC#8 3/16x2""",15/01/2026,2026,1,15,4,8.0,8400.0,1050.0,4,0,Baja,2026-01-15,2100.0,7250.0,4100.0,5150.0,8400.0,5500.0,8500.0,0.25,2.1972245773362196,9.036106025364846,6.957497370876951,0.49999999999999994,0.8660254037844387,0,0,0.6080133608063847,Reforzar stock,,
714,"PIN CHAVETA PC#8 3/16x2""",26/02/2026,2026,2,26,4,12.0,12600.0,1050.0,4,0,Baja,2026-02-26,1050.0,2300.0,6100.0,2100.0,1000.0,3500.0,2933.3333333333335,0.08333333333333333,2.5649493574615367,9.441531454869693,6.957497370876951,0.8660254037844386,0.5000000000000001,0,0,0.5224085112933339,Mantener,,
714,"PIN CHAVETA PC#8 3/16x2""",13/03/2026,2026,3,13,5,8.0,8100.0,1008.33,6,0,Baja,2026-03-13,8400.0,1050.0,1050.0,12600.0,2100.0,4900.0,4200.0,1.037037037037037,2.1972245773362196,8.999742789830492,6.9170420233738685,1.0,6.123233995736766e-17,0,0,0.47697455017464774,Mantener,,
714,"PIN CHAVETA PC#8 3/16x2""",14/03/2026,2026,3,14,6,8.0,8400.0,1050.0,8,0,Baja,2026-03-14,1000.0,8100.0,1050.0,1050.0,6100.0,3400.0,5200.0,0.11904761904761904,2.1972245773362196,9.036106025364846,6.957497370876951,1.0,6.123233995736766e-17,0,0,0.5204762444133562,Mantener,,
714,"PIN CHAVETA PC#8 3/16x2""",18/03/2026,2026,3,18,3,8.0,8100.0,1012.5,4,0,Baja,2026-03-18,3300.0,1000.0,8400.0,8100.0,12600.0,5833.333333333333,5366.666666666667,0.4074074074074074,2.1972245773362196,8.999742789830492,6.921164965892054,1.0,6.123233995736766e-17,0,0,0.507273485360706,Mantener,,
715,"PIN CHAVETA PC#9 3/16x1.1/2""",10/11/2025,2025,11,10,1,6.0,4800.0,800.0,4,0,Alta,2025-11-10,3200.0,6400.0,5000.0,19200.0,28.0,10200.0,8171.333333333333,0.6666666666666666,1.9459101490553132,8.476579508530941,6.68586094706836,-0.5000000000000004,0.8660254037844384,0,0,0.6381879086712473,Reforzar stock,,
715,"PIN CHAVETA PC#9 3/16x1.1/2""",12/12/2025,2025,12,12,5,30.0,24000.0,800.0,15,0,Alta,2025-12-12,4800.0,3200.0,4800.0,6400.0,8000.0,4800.0,7766.666666666667,0.2,3.4339872044851463,10.085850775128717,6.68586094706836,-2.4492935982947064e-16,1.0,0,0,0.19741619977122454,Mantener,,
717,"PIN CHAVETA PC#11 5/32x3""",26/02/2026,2026,2,26,4,46.0,47800.0,1039.13,14,0,Baja,2026-02-26,1200.0,9500.0,9877.0,1100.0,6000.0,6825.666666666667,5082.0,0.02510460251046025,3.8501476017100584,10.774801838762809,6.947100984323569,0.8660254037844386,0.5000000000000001,0,0,0.11891277503476011,Mantener,,
718,"PIN CHAVETA PC#12 5/32x2.1/2""",20/01/2026,2026,1,20,2,186.0,164100.0,878.85,26,0,Baja,2026-01-20,3400.0,7401.8,1000.0,16000.0,9600.0,8133.933333333333,6733.633333333334,0.020719073735527116,5.231108616854587,12.008237370904832,6.779751438397771,0.49999999999999994,0.8660254037844387,0,0,0.06644603968303239,Mantener,,
719,"PIN CHAVETA PC#13 5/32x2""",4/10/2025,2025,10,4,6,150.0,120000.0,800.0,5,0,Baja,2025-10-04,1600.0,16000.0,48000.0,40000.0,4800.0,34666.666666666664,18934.666666666668,0.013333333333333334,5.017279836814924,11.695255355062795,6.68586094706836,-0.8660254037844386,0.5000000000000001,0,0,0.38053905746333894,Mantener,,
720,"PIN CHAVETA PC#14 5/32x1.1/2""",25/09/2025,2025,9,25,4,10.0,6000.0,600.0,5,0,Baja,2025-09-25,3600.0,600.0,600.0,150.0,600.0,450.0,5629.333333333333,0.6,2.3978952727983707,8.699681400989514,6.398594934535208,-1.0,-1.8369701987210297e-16,0,0,0.5481948573529325,Mantener,,
722,"PIN CHAVETA PC#16 3/32x1.1/2""",25/11/2025,2025,11,25,2,8.0,4000.0,500.0,8,0,Alta,2025-11-25,2000.0,3000.0,500.0,500.0,29.0,1333.3333333333333,716.1666666666666,0.5,2.1972245773362196,8.294299608857235,6.2166061010848646,-0.5000000000000004,0.8660254037844384,0,0,0.5375029443741141,Mantener,,
723,"PIN CHAVETA PC#17 3/32x1""",19/01/2026,2026,1,19,1,16.0,6400.0,400.0,8,0,Baja,2026-01-19,800.0,1000.0,800.0,1600.0,149.0,1133.3333333333333,4858.166666666667,0.125,2.833213344056216,8.764209507142004,5.993961427306569,0.49999999999999994,0.8660254037844387,0,0,0.3494686535819788,Mantener,,
724,"PIN CHAVETA PC#18 1/8x3""",29/10/2025,2025,10,29,3,36.0,54000.0,1500.0,18,0,Baja,2025-10-29,5204.0,2600.0,31.0,31.0,2200.0,887.3333333333334,1815.6666666666667,0.09637037037037037,3.6109179126442243,10.896757843893464,7.313886831633462,-0.8660254037844386,0.5000000000000001,0,0,0.11628599711923933,Mantener,,
725,"PIN CHAVETA PC#19 1/8x2""",12/12/2025,2025,12,12,5,34.0,27200.0,800.0,12,0,Alta,2025-12-12,33.0,11000.0,800.0,800.0,2400.0,4200.0,2900.0,0.0012132352941176471,3.5553480614894135,10.211009016314167,6.68586094706836,-2.4492935982947064e-16,1.0,0,0,0.1971544753062668,Mantener,,
726,"PIN CHAVETA PC#20 1/8x1.1/2""",7/02/2026,2026,2,7,6,19.0,11400.0,600.0,19,0,Baja,2026-02-07,600.0,700.0,1800.0,1200.0,1300.0,1233.3333333333333,1783.3333333333333,0.05263157894736842,2.995732273553991,9.34145634983372,6.398594934535208,0.8660254037844386,0.5000000000000001,0,0,0.12204158613399739,Mantener,,
727,"PIN CHAVETA PC#21 1/8x1.1/4""",22/07/2025,2025,7,22,2,132.0,2928.0,560.2,5,0,Media,2025-07-22,124.0,7000.0,500.0,1400.0,14637.0,2966.6666666666665,4406.166666666667,0.04234972677595628,4.890349128221754,7.982416346827733,6.330077348228306,-0.4999999999999997,-0.8660254037844388,0,0,0.45716603810190215,Mantener,,
728,"PIN CHAVETA PC#22 1/16x1.1/2""",5/12/2025,2025,12,5,5,60.0,24000.0,400.0,15,0,Alta,2025-12-05,4800.0,500.0,6800.0,800.0,400.0,2700.0,2350.0,0.2,4.110873864173311,10.085850775128717,5.993961427306569,-2.4492935982947064e-16,1.0,0,0,0.11443693531670111,Mantener,,
729,"PIN CHAVETA PC#23 1/16x1.1/4""",16/03/2026,2026,3,16,1,102.0,30600.0,300.0,22,0,Baja,2026-03-16,2000.0,3700.0,2800.0,8400.0,1200.0,4966.666666666667,2983.3333333333335,0.06535947712418301,4.634728988229636,10.328787967145063,5.707110264748875,1.0,6.123233995736766e-17,0,0,0.0980831851729093,Mantener,,
