CODIGO,DESCRIPCION,fecha,VENTAS,TOTAL_VENDIDO,PRECIO_PROMEDIO,FRECUENCIA,ANIO,MES,target,lag_1,lag_2,lag_3,lag_6,mean_3,mean_6,growth_ratio,VENTAS_LOG,TOTAL_LOG,PRECIO_LOG,mes_sin,mes_cos,cluster,target_class,prob,decision,pred_sales,error_stock
2554,ARANDELA COBRE 12*18*1.5,2026-02-01,10.0,23000.0,2300.0,5,2026,2,13800.0,27600.0,78200.0,23000.0,4200.0,42933.333333333336,23673.5,0.6,2.3978952727983707,10.043292972227004,7.741099090035366,0.8660254037844386,0.5000000000000001,0,0,0.7176886775099568,Reforzar stock próximo mes,,
2556,ARANDELA DE COBRE D 16x22,2025-10-01,29.0,89000.0,3062.5,14,2025,10,14000.0,27600.0,24000.0,56727.3,18990.0,36109.1,57069.55000000001,0.15730337078651685,3.4011973816621555,11.39640288460621,8.02731333216571,-0.8660254037844386,0.5000000000000001,0,0,0.5763199421337285,Mantener stock,,
2556,ARANDELA DE COBRE D 16x22,2025-11-01,4.0,14000.0,3500.0,4,2025,11,33200.0,89000.0,27600.0,24000.0,19500.0,46866.666666666664,68737.88333333335,2.3714285714285714,1.6094379124341003,9.546884034617925,8.160803920954665,-0.5000000000000004,0.8660254037844384,0,1,0.821382873455904,Reforzar stock próximo mes,,
2556,ARANDELA DE COBRE D 16x22,2025-12-01,11.0,33200.0,3033.335,7,2025,12,1.0,14000.0,89000.0,27600.0,195600.0,43533.333333333336,67821.21666666667,3.0120481927710842e-05,2.4849066497880004,10.410335274932896,8.0177475691065,-2.4492935982947064e-16,1.0,0,0,0.6932804582360388,Reforzar stock próximo mes,,
2557,ARANDELA COBRE D18x24,2025-12-01,3.0,10500.0,3500.0,3,2025,12,13600.0,27200.0,6400.0,65825.1,13809.95,33141.700000000004,22805.841666666664,1.2952380952380953,1.3862943611198906,9.259225769705994,8.160803920954665,-2.4492935982947064e-16,1.0,0,1,0.7856474708689507,Reforzar stock próximo mes,,
256,SILICONA NEGRA GRANDE 70ML,2026-02-01,24.0,358000.0,14666.666666666666,24,2026,2,42000.0,15000.0,14000.0,14500.0,14000.0,14500.0,43906.39333333333,0.11731843575418995,3.2188758248682006,12.788291058675025,9.593400803726196,0.8660254037844386,0.5000000000000001,0,0,0.21358629204716378,Mantener stock,,
2561,"RESORTE DE BANDA #96 JAC,FOTON MODELO NUEVO (2023)",2025-09-01,30.0,94757.37,3158.58,3,2025,9,31595.79,38000.0,33161.58,18006.0,9.0,29722.52666666667,20196.263333333332,0.33343886602171424,3.4339872044851463,11.459085456773996,8.058194386355051,-1.0,-1.8369701987210297e-16,0,0,0.3360048410948236,Mantener stock,,
2563,RETEN VICTOR 69043 TRANSMISION 950 CON FELPA FORD.KENW.SUPER BRIG.EJES DE 46000 lbs 76X125X29,2025-11-01,16.0,857807.1,50680.71,4,2025,11,165000.0,469185.18,3.0,107000.0,78966.02,192062.72666666665,134953.405,0.1923509376408752,2.833213344056216,13.662135693780884,10.833320374986615,-0.5000000000000004,0.8660254037844384,0,0,0.25820946626714014,Mantener stock,,
257,SILICONA NEGRA PEQUEÑA 50ML,2025-07-01,1.0,10000.0,10000.0,1,2025,7,250000.0,22000.0,10000.0,113123.14,9975.0,48374.380000000005,30845.523333333334,25.0,0.6931471805599453,9.210440366976517,9.210440366976517,-0.4999999999999997,-0.8660254037844388,0,1,0.9221631611772327,Reforzar stock próximo mes,,
2577,JGO. SPLINDERS NPR/NKR/NQR/FOTON CAMION 93/95 ELGIN DIA30MM X 18.7 LARGO-I CUÃƒâ€˜ERO,2025-07-01,1.0,277500.0,277500.0,1,2025,7,7042500.0,639030.36,277465.0,263895.68,102000.0,393463.68,324601.84,25.37837837837838,0.6931471805599453,12.533579815765737,12.533579815765737,-0.4999999999999997,-0.8660254037844388,0,1,0.7810783171667784,Reforzar stock próximo mes,1451750.0988071573,5590749.901192843
2577,JGO. SPLINDERS NPR/NKR/NQR/FOTON CAMION 93/95 ELGIN DIA30MM X 18.7 LARGO-I CUÃƒâ€˜ERO,2025-10-01,26.0,7042500.0,273750.0,26,2025,10,2316203.95,277500.0,639030.36,277465.0,402220.0,397998.45333333337,353851.84,0.3288894497692581,3.295836866004329,15.767473920727685,12.519974213074212,-0.8660254037844386,0.5000000000000001,2,0,0.07387516936151586,Mantener stock,1160070.6442026237,1156133.3057973764
258,SECADOR AIRE GT AD9 CROMADO KENWORTH EAGLE INTERNATIONAL (GRANDE),2026-02-01,11.0,8690000.0,790000.0,11,2026,2,1558323.99,8703200.0,10245608.0,791300.0,760002.0,6580036.0,4672851.666666667,0.17932381933256616,2.4849066497880004,15.977683612316367,13.579789490265188,0.8660254037844386,0.5000000000000001,1,0,0.40680792272519817,Mantener stock,1475075.220652489,83248.769347511
2584,JGO.TERMINALES DIR.NPR M90/98 JAC M2003,2025-09-01,4.0,277847.82999999996,74641.305,2,2025,9,88001.0,88000.0,431130.44,2.0,535003.0,173044.14666666667,233872.57333333333,0.31672372607696814,1.6094379124341003,12.534832467794036,11.220462716609244,-1.0,-1.8369701987210297e-16,0,0,0.7603436041419249,Reforzar stock próximo mes,,
259,SECADOR AIRE GT AD9 NEGRO KENWORTH EAGLE INTER IMPORTADO,2025-12-01,10.0,10.0,1.0,2,2025,12,717400.0,7174000.0,10845800.0,10740800.0,1360000.0,9586866.666666666,5372821.666666667,71740.0,2.3978952727983707,2.3978952727983707,0.6931471805599453,-2.4492935982947064e-16,1.0,0,1,0.7947066294314967,Reforzar stock próximo mes,1464153.0116032108,746753.0116032108
2591,CAUCHO CARDAN COMPLETO DOBLE TROQUE/BRIGADIER HB88510 RM,2026-01-01,3.0,213843.0,71281.0,1,2026,1,58377.72,3.0,554000.0,1.0,2.0,184668.0,112001.71333333333,0.27299336429062443,1.3862943611198906,12.273002056212114,11.174399120112454,0.49999999999999994,0.8660254037844387,0,0,0.5520460149052051,Mantener stock,,
26,"ANILLO COMPRESOR MIDLAND 13"" A68010-030",2025-07-01,9.0,1587600.0,176400.0,5,2025,7,508844.0,1060801.0,555633.0,168000.0,170000.0,594811.3333333334,878650.3916666666,0.3205114638447972,2.302585092994046,14.277734629772432,12.080515091473,-0.4999999999999997,-0.8660254037844388,2,0,0.5723123360473004,Mantener stock,,
260,SECADOR AIRE KTC AD9 NEGRO COMPLETO (GRANDE),2025-08-01,19.0,14250000.0,750000.0,19,2025,8,9285015.0,1985993.59,2729168.42,14.0,273000.0,1571725.3366666667,922362.6683333333,0.65158,2.995732273553991,16.47226753485437,13.527829818844937,-0.8660254037844385,-0.5000000000000004,1,0,0.21502008953652602,Mantener stock,1997290.6508340726,7287724.349165928
261,VALVULA DE PUERTA SENCILLA USA  A 83034,2025-11-01,1.0,30000.0,30000.0,1,2025,11,90000.0,866500.0,171200.0,479000.0,118000.0,505566.6666666667,512534.5,3.0,0.6931471805599453,10.308985993422082,10.308985993422082,-0.5000000000000004,0.8660254037844384,0,1,0.9054431362201205,Reforzar stock próximo mes,,
261,VALVULA DE PUERTA SENCILLA USA  A 83034,2025-12-01,3.0,90000.0,30000.0,3,2025,12,132251.89,30000.0,866500.0,171200.0,472007.0,355900.0,497867.8333333333,1.4694654444444446,1.3862943611198906,11.407576060361786,10.308985993422082,-2.4492935982947064e-16,1.0,0,1,0.7818981442071308,Reforzar stock próximo mes,,
261,VALVULA DE PUERTA SENCILLA USA  A 83034,2026-02-01,25.0,132251.89,20482.393333333333,9,2026,2,93000.0,90000.0,30000.0,866500.0,968500.0,328833.3333333333,434200.0,0.703203561022833,3.258096538021482,11.792471202033767,9.92736975553252,0.8660254037844386,0.5000000000000001,0,0,0.6881996734051199,Reforzar stock próximo mes,,
262,VALVULA DE MONOCHIP USA A-546,2025-09-01,1.0,45000.0,45000.0,1,2025,9,210000.0,102000.0,143300.0,1.0,100000.0,81767.0,146150.16666666666,4.666666666666667,0.6931471805599453,10.714439990727769,10.714439990727769,-1.0,-1.8369701987210297e-16,0,1,0.8654177602430941,Reforzar stock próximo mes,,
262,VALVULA DE MONOCHIP USA A-546,2025-11-01,6.0,210000.0,35000.0,2,2025,11,150000.0,45000.0,102000.0,143300.0,102000.0,96766.66666666667,136983.5,0.7142857142857143,1.9459101490553132,12.25486757159303,10.463131911491967,-0.5000000000000004,0.8660254037844384,0,0,0.6265755578929837,Reforzar stock próximo mes,,
263,VALVULA DE PALANCA USA,2025-10-01,3.0,158400.0,52800.0,3,2025,10,227800.0,732000.0,670913.0,105600.0,50000.0,502837.6666666667,375652.1666666667,1.4381313131313131,1.3862943611198906,11.972885071473847,10.874285408908944,-0.8660254037844386,0.5000000000000001,0,1,0.7576213923978774,Reforzar stock próximo mes,,
263,VALVULA DE PALANCA USA,2025-11-01,6.0,227800.0,43900.0,2,2025,11,466000.0,158400.0,732000.0,670913.0,105800.0,520437.6666666667,393718.8333333333,2.0456540825285336,1.9459101490553132,12.336227719801212,10.689692377847104,-0.5000000000000004,0.8660254037844384,0,1,0.7285375199478261,Reforzar stock próximo mes,,
263,VALVULA DE PALANCA USA,2026-02-01,9.0,466000.0,51800.0,9,2026,2,839400.0,227800.0,158400.0,732000.0,589600.0,372733.3333333333,414052.1666666667,1.8012875536480686,2.302585092994046,13.051943059028227,10.85516473308054,0.8660254037844386,0.5000000000000001,0,1,0.6638547963001132,Reforzar stock próximo mes,,
2636,BANDA 20184X MEDIO JUEGO INCOLBEST HINO DEL/TRAS.,2026-01-01,28.0,2271998.52,90302.995,8,2026,1,521796.62,148545.32,1127000.0,113000.0,380000.0,462848.44,400837.88999999996,0.22966415488686145,3.367295829986474,14.636170847555551,11.410936979843951,0.49999999999999994,0.8660254037844387,2,0,0.10270754144256614,Mantener stock,,
2637,EMPAQUE COMPRESOR CUMMIS LATERAL,2026-01-01,3.0,50700.0,16900.0,3,2026,1,3.0,18000.0,152100.0,219900.0,16900.0,130000.0,84716.66666666667,5.9171597633136094e-05,1.3862943611198906,10.83370091325064,9.735128070758227,0.49999999999999994,0.8660254037844387,0,0,0.6943821531519873,Reforzar stock próximo mes,,
2637,EMPAQUE COMPRESOR CUMMIS LATERAL,2026-02-01,3.0,3.0,1.0,3,2026,2,3.0,50700.0,18000.0,152100.0,16900.0,73600.0,90350.0,1.0,1.3862943611198906,1.3862943611198906,0.6931471805599453,0.8660254037844386,0.5000000000000001,0,0,0.8893964371693718,Reforzar stock próximo mes,,
2638,EMPAQUE CULATA AGRALE,2025-09-01,8.0,117000.0,14583.335,8,2025,9,3.0,236000.0,7.0,1.0,14000.0,78669.33333333333,46328.833333333336,2.564102564102564e-05,2.1972245773362196,11.669937760751914,9.58770328647318,-1.0,-1.8369701987210297e-16,0,0,0.43339024512262936,Mantener stock,,
264,VALVULA DE BOTON PP1 FORWELL,2025-11-01,8.0,548800.0,68600.0,8,2025,11,137200.0,68600.0,198000.0,136600.0,65000.0,134400.0,133883.5,0.25,2.1972245773362196,13.215491177549588,11.136062390867204,-0.5000000000000004,0.8660254037844384,0,0,0.4916299677627285,Mantener stock,,
264,VALVULA DE BOTON PP1 FORWELL,2025-12-01,2.0,137200.0,68600.0,1,2025,12,69000.0,548800.0,68600.0,198000.0,68501.0,271800.0,214516.83333333334,0.5029154518950437,1.0986122886681098,11.829202282877098,11.136062390867204,-2.4492935982947064e-16,1.0,0,0,0.8449268972987021,Reforzar stock próximo mes,,
264,VALVULA DE BOTON PP1 FORWELL,2026-01-01,1.0,69000.0,69000.0,1,2026,1,65000.0,137200.0,548800.0,68600.0,266600.0,251533.33333333334,225966.66666666666,0.9420289855072463,0.6931471805599453,11.141876276228,11.141876276228,0.49999999999999994,0.8660254037844387,0,0,0.8769397614792115,Reforzar stock próximo mes,,
264,VALVULA DE BOTON PP1 FORWELL,2026-02-01,1.0,65000.0,65000.0,1,2026,2,68000.0,69000.0,137200.0,548800.0,136600.0,251666.66666666666,193033.33333333334,1.0461538461538462,0.6931471805599453,11.082157933374816,11.082157933374816,0.8660254037844386,0.5000000000000001,0,0,0.8865157128477464,Reforzar stock próximo mes,,
2641,RODILLO KOYO 4T-33113 RDA HYUNDAI HD 120/ RT JAC,2025-09-01,11.0,2144743.81,194995.31666666665,7,2025,9,1920000.0,195200.0,1.0,152131.58,290000.0,115777.52666666666,203208.54833333334,0.8952118155314783,2.4849066497880004,14.578531133569829,12.180735948478597,-1.0,-1.8369701987210297e-16,2,0,0.21436913372365676,Mantener stock,,
2642,BANDA 9006XX MEDIO JUEGO INCOLBEST,2025-12-01,9.0,9.0,1.0,1,2025,12,9.0,5000.5,15001.5,315031.5,4.0,111677.83333333333,114840.58333333333,1.0,2.302585092994046,2.302585092994046,0.6931471805599453,-2.4492935982947064e-16,1.0,0,0,0.8118828479318113,Reforzar stock próximo mes,,
