Código Producto,Fecha,Ventas Actuales,Ventas Reales Futuras,Ventas Predichas,Precio Promedio,Frecuencia,Cluster,Error Absoluto ($),Error (%)
1016,2022-09-01,0.5,16.0,13.47,132000.0,1,0,2.53,15.83
T8729,2022-09-01,12.0,4.0,20.91,642.86,6,1,16.91,422.66
T8729,2022-09-01,4.0,4.0,14.36,700.0,3,0,10.36,258.97
1043,2022-09-01,12.0,44.0,18.65,101674.0,6,0,25.35,57.61
1043,2022-09-01,2.0,12.0,12.22,90000.0,2,0,0.22,1.83
103,2022-09-01,4.0,2.0,7.35,8400.0,4,0,5.35,267.74
1024,2022-09-01,12.0,26.0,12.89,81893.65,4,0,13.11,50.41
1024,2022-09-01,1.0,12.0,15.11,78000.0,1,0,3.11,25.91
T8731,2022-09-01,7.0,21.0,12.56,1000.0,3,0,8.44,40.17
T8731,2022-09-01,21.0,15.0,8.29,1105.26,19,1,6.71,44.73
1023,2022-09-01,28.0,72.0,22.49,103792.31,14,0,49.51,68.77
1023,2022-09-01,1.0,28.0,14.84,94000.0,1,0,13.16,46.99
1021,2022-09-01,16.0,40.0,12.67,106285.71,14,0,27.33,68.33
1020,2022-09-01,51.0,40.0,25.04,90571.62,21,0,14.96,37.39
1020,2022-09-01,1.0,51.0,37.05,96000.0,1,0,13.95,27.36
T8756,2022-09-01,1.0,8.0,10.83,1000.0,1,0,2.83,35.34
T8756,2022-09-01,8.0,6.0,11.79,800.0,1,0,5.79,96.56
1019,2022-09-01,4.0,26.0,14.66,123666.67,3,0,11.34,43.63
T8827,2022-09-01,17.0,76.0,44.43,200.0,11,1,31.57,41.54
1018,2022-09-01,10.5,44.0,15.18,146990.75,8,0,28.82,65.49
T8850,2022-09-01,84.0,78.0,52.02,100.0,14,1,25.98,33.31
1017,2022-09-01,14.0,30.5,17.03,142269.43,14,0,13.47,44.16
1017,2022-09-01,11.0,14.0,18.08,137954.38,5,0,4.08,29.13
T8851,2022-09-01,4.0,60.0,32.51,105.0,2,1,27.49,45.82
T8851,2022-09-01,60.0,14.0,15.86,107.5,20,1,1.86,13.31
1016,2022-09-01,16.0,50.0,23.76,153827.21,16,0,26.24,52.48
T7161,2022-09-01,185.0,18.0,22.41,100.0,43,1,4.41,24.49
1111,2022-09-01,125.0,55.0,37.6,8875.0,32,1,17.4,31.64
1112,2022-09-01,6.0,32.0,49.05,9500.0,2,0,17.05,53.29
1206,2022-09-01,65.0,23.0,26.06,10511.54,52,1,3.06,13.32
1205,2022-09-01,46.0,3.0,9.54,7500.25,4,0,6.54,217.85
1205,2022-09-01,77.0,46.0,18.33,3167.33,3,1,27.67,60.15
T6524,2022-09-01,9.0,8.0,14.88,725.0,2,0,6.88,85.94
T6524,2022-09-01,8.0,12.0,12.11,700.0,2,0,0.11,0.88
1204,2022-09-01,1.0,11.0,10.69,10000.0,1,0,0.31,2.79
1204,2022-09-01,30.0,1.0,10.74,7000.0,1,0,9.74,973.63
1202,2022-09-01,67.0,8.0,11.02,9400.13,8,1,3.02,37.8
1202,2022-09-01,8.0,67.0,12.05,9500.0,6,0,54.95,82.02
T6525,2022-09-01,22.0,28.0,13.0,866.67,6,1,15.0,53.57
T6525,2022-09-01,28.0,1.0,8.44,800.0,13,1,7.44,744.13
1201,2022-09-01,44.0,4.0,9.51,11550.0,30,0,5.51,137.82
1201,2022-09-01,8.0,44.0,15.11,2888.25,4,0,28.89,65.66
1200,2022-09-01,54.0,3.0,10.66,6429.36,9,1,7.66,255.32
1200,2022-09-01,4.0,54.0,19.47,10000.0,2,0,34.53,63.95
1196,2022-09-01,139.0,22.0,19.44,6919.83,24,1,2.56,11.65
T6532,2022-09-01,25.0,43.0,20.67,572.92,6,1,22.33,51.93
T6532,2022-09-01,43.0,11.0,13.46,600.0,24,1,2.46,22.39
1194,2022-09-01,139.0,15.0,11.22,7419.02,19,1,3.78,25.17
T6533,2022-09-01,5.0,16.0,11.47,550.0,2,0,4.53,28.28
T6533,2022-09-01,16.0,8.0,10.46,500.0,8,1,2.46,30.74
1190,2022-09-01,43.0,1.0,9.05,12428.71,7,0,8.05,805.17
1190,2022-09-01,4.0,43.0,12.91,2875.75,4,0,30.09,69.98
T6534,2022-09-01,80.0,15.0,15.21,600.0,18,1,0.21,1.41
1185,2022-09-01,5.0,13.0,9.43,14500.0,3,0,3.57,27.47
1185,2022-09-01,10.0,5.0,13.46,4375.64,4,0,8.46,169.27
1206,2022-09-01,197.0,65.0,42.13,8634.44,15,1,22.87,35.18
T6523,2022-09-01,3.0,9.0,10.79,633.33,3,0,1.79,19.86
1112,2022-09-01,32.0,30.0,24.9,9722.22,18,0,5.1,17.0
T6523,2022-09-01,3.0,3.0,11.72,788.75,2,0,8.72,290.59
1265,2022-09-01,254.0,24.0,18.55,7342.25,8,1,5.45,22.69
T6519,2022-09-01,27.0,12.0,13.21,314.38,7,1,1.21,10.07
T6519,2022-09-01,12.0,24.0,17.96,300.0,3,1,6.04,25.17
1260,2022-09-01,1.0,9.0,9.31,36900.0,1,0,0.31,3.41
1257,2022-09-01,7.0,8.0,8.78,10950.0,4,0,0.78,9.71
1257,2022-09-01,2.0,7.0,10.83,10250.0,2,0,3.83,54.73
1254,2022-09-01,7.0,4.0,12.13,7150.0,2,0,8.13,203.13
1253,2022-09-01,13.0,8.0,13.22,219892.49,9,0,5.22,65.27
T6520,2022-09-01,2.0,5.0,13.66,367.5,1,0,8.66,173.11
T6520,2022-09-01,5.0,8.0,11.35,500.0,5,0,3.35,41.82
1248,2022-09-01,2.0,3.0,11.57,31700.0,1,0,8.57,285.78
1240,2022-09-01,9.0,1.0,12.05,18566.67,9,0,11.05,1104.66
1240,2022-09-01,10.0,9.0,10.17,14000.0,1,0,1.17,13.04
T6521,2022-09-01,4.0,7.0,16.35,413.33,3,0,9.35,133.52
T6521,2022-09-01,7.0,18.0,15.94,400.0,6,1,2.06,11.47
1239,2022-09-01,10.0,10.0,11.06,12040.0,5,0,1.06,10.58
1234,2022-09-01,5.0,4.0,9.53,9500.0,3,0,5.53,138.36
1234,2022-09-01,4.0,5.0,10.1,7757.68,4,0,5.1,102.07
1233,2022-09-01,54.0,1.0,9.01,5296.43,7,1,8.01,801.33
1233,2022-09-01,6.0,54.0,23.14,1.0,3,1,30.86,57.15
1231,2022-09-01,107.0,7.0,37.14,10430.77,39,1,30.14,430.58
T6522,2022-09-01,11.0,58.0,28.36,466.88,4,1,29.64,51.11
T6522,2022-09-01,58.0,25.0,17.81,500.0,30,1,7.19,28.74
1218,2022-09-01,41.0,3.0,7.28,11397.19,9,0,4.28,142.8
1211,2022-09-01,64.0,4.0,9.12,7280.2,5,1,5.12,127.92
1184,2022-09-01,221.0,47.0,39.02,14858.84,68,1,7.98,16.99
T6535,2022-09-01,1.0,6.0,14.36,750.0,1,0,8.36,139.29
T6535,2022-09-01,6.0,14.0,13.82,800.0,3,0,0.18,1.28
1174,2022-09-01,7.0,5.0,11.45,15142.86,7,0,6.45,129.08
1125,2022-09-01,4.0,62.0,16.58,14070.0,2,0,45.42,73.25
1124,2022-09-01,6.0,8.0,10.94,8500.0,3,0,2.94,36.72
1124,2022-09-01,5.0,6.0,11.49,12079.71,1,0,5.49,91.54
T6556,2022-09-01,6.0,5.0,18.57,1450.0,2,0,13.57,271.44
T6556,2022-09-01,5.0,2.0,14.21,1500.0,5,0,12.21,610.57
1123,2022-09-01,22.0,2.0,11.44,6050.0,10,0,9.44,472.11
1123,2022-09-01,7.0,22.0,10.18,10236.0,2,0,11.82,53.73
1120,2022-09-01,2.0,8.0,14.09,11000.0,1,0,6.09,76.07
1120,2022-09-01,2.0,2.0,10.57,9200.0,1,0,8.57,428.45
T6557,2022-09-01,5.0,15.0,12.38,1600.0,5,0,2.62,17.5
1118,2022-09-01,6.0,2.0,11.78,31500.0,1,0,9.78,488.81
1117,2022-09-01,14.0,19.0,22.9,13428.57,7,0,3.9,20.5
1117,2022-09-01,18.0,14.0,23.03,18280.0,5,0,9.03,64.51
1116,2022-09-01,75.0,38.0,32.14,20000.0,25,1,5.86,15.41
1116,2022-09-01,60.0,75.0,52.41,15223.53,17,0,22.59,30.12
T7120,2022-09-01,12.0,10.0,13.75,2100.0,6,0,3.75,37.53
1115,2022-09-01,106.0,50.0,19.1,10521.49,46,1,30.9,61.81
T7123,2022-09-01,21.0,12.0,10.86,1931.67,3,1,1.14,9.53
T7123,2022-09-01,12.0,8.0,11.13,2025.0,6,0,3.13,39.13
1114,2022-09-01,82.0,16.0,20.31,10004.55,33,1,4.31,26.97
T7129,2022-09-01,54.0,8.0,13.9,2585.71,7,1,5.9,73.79
1113,2022-09-01,33.0,23.0,22.14,16155.56,18,0,0.86,3.73
1113,2022-09-01,35.0,33.0,39.92,10714.29,7,0,6.92,20.97
T7131,2022-09-01,10.0,13.0,18.21,3045.0,2,0,5.21,40.04
T7131,2022-09-01,13.0,13.0,15.35,3060.0,5,0,2.35,18.07
1125,2022-09-01,62.0,9.0,14.42,9173.08,26,1,5.42,60.18
1126,2022-09-01,12.0,20.0,21.54,16275.0,3,0,1.54,7.69
1126,2022-09-01,20.0,2.0,12.7,21100.0,7,0,10.7,534.82
T6538,2022-09-01,42.0,12.0,8.99,1300.0,7,1,3.01,25.11
1174,2022-09-01,6.0,7.0,17.07,7233.83,6,0,10.07,143.87
1173,2022-09-01,24.0,2.0,9.18,15300.0,6,0,7.18,358.9
1169,2022-09-01,18.0,9.0,16.39,26163.64,11,0,7.39,82.16
1169,2022-09-01,29.0,18.0,15.98,20672.7,8,0,2.02,11.21
1165,2022-09-01,2.0,7.0,11.18,36450.0,2,0,4.18,59.71
T6536,2022-09-01,4.0,2.0,12.23,864.17,3,0,10.23,511.26
1164,2022-09-01,114.0,7.0,10.78,479.74,6,1,3.78,53.95
T6537,2022-09-01,16.0,6.0,9.55,1100.0,16,1,3.55,59.18
T6538,2022-09-01,4.0,42.0,17.95,600.5,2,0,24.05,57.25
1163,2022-09-01,6.0,1.0,12.57,400.0,2,0,11.57,1157.21
1163,2022-09-01,9.0,6.0,16.24,134.0,2,1,10.24,170.59
T6545,2022-09-01,3.0,37.0,18.86,787.5,1,0,18.14,49.02
1127,2022-09-01,2.0,2.0,9.49,24300.0,1,0,7.49,374.56
T6545,2022-09-01,37.0,1.0,15.96,809.38,16,1,14.96,1495.85
1162,2022-09-01,21.0,9.0,12.68,510.71,7,1,3.68,40.92
1160,2022-09-01,10.0,38.0,19.73,300.0,4,1,18.27,48.08
1160,2022-09-01,43.0,10.0,17.68,313.33,15,1,7.68,76.77
T6555,2022-09-01,3.0,3.0,11.57,1312.5,1,0,8.57,285.71
T6555,2022-09-01,3.0,2.0,8.73,1300.0,3,0,6.73,336.43
1158,2022-09-01,7.0,54.0,15.34,367.5,3,1,38.66,71.6
1148,2022-09-01,2.0,6.0,14.94,11000.0,1,0,8.94,149.02
1130,2022-09-01,4.0,11.0,14.78,29725.0,2,0,3.78,34.34
1129,2022-09-01,2.0,16.0,12.49,23100.0,1,0,3.51,21.93
1128,2022-09-01,6.0,22.0,12.99,25300.0,3,0,9.01,40.96
1795,2022-09-01,5.0,6.0,11.76,37029.43,3,0,5.76,95.96
1637,2022-09-01,2.0,2.0,15.28,246000.0,2,0,13.28,664.04
1796,2022-09-01,7.0,15.0,12.26,138884.56,6,0,2.74,18.27
2311,2022-09-01,34.0,8.0,15.91,33931.4,10,0,7.91,98.88
2343,2022-09-01,66.0,46.0,42.53,20000.0,35,1,3.47,7.54
2343,2022-09-01,310.0,66.0,56.48,16140.08,12,1,9.52,14.42
729,2022-09-01,8.0,2.0,13.57,300.0,4,1,11.57,578.69
234,2022-09-01,1.0,1.0,9.82,85000.0,1,0,8.82,882.3
731,2022-09-01,1.0,31.0,8.7,30000.0,1,0,22.3,71.94
731,2022-09-01,31.0,3.0,8.11,19087.04,23,0,5.11,170.48
2327,2022-09-01,28.0,1.0,6.92,17900.0,8,0,5.92,592.01
733,2022-09-01,3.0,4.0,10.93,26400.0,2,0,6.93,173.2
736,2022-09-01,10.0,8.0,10.36,25575.25,4,0,2.36,29.56
2315,2022-09-01,20.0,2.0,12.39,690.0,1,1,10.39,519.38
2314,2022-09-01,8.0,20.0,10.04,1200.0,4,0,9.96,49.78
2311,2022-09-01,4.0,34.0,24.05,7230.85,1,0,9.95,29.27
728,2022-09-01,14.0,19.0,16.48,400.0,7,1,2.52,13.24
736,2022-09-01,8.0,3.0,10.17,12300.67,3,0,7.17,238.89
2290,2022-09-01,7.0,7.0,13.23,168814.29,7,0,6.23,89.0
2290,2022-09-01,1.0,7.0,12.65,1.0,1,1,5.65,80.67
229,2022-09-01,3.0,50.0,21.93,118333.33,3,0,28.07,56.13
2283,2022-09-01,17.0,20.0,11.3,12452.94,17,0,8.7,43.52
2281,2022-09-01,28.0,2.0,15.48,100.0,10,1,13.48,673.76
2281,2022-09-01,20.0,28.0,24.84,105.0,2,1,3.16,11.27
2264,2022-09-01,6.0,3.0,9.81,122500.0,6,0,6.81,226.92
2264,2022-09-01,8.0,6.0,12.94,76820.21,3,0,6.94,115.73
748,2022-09-01,4.0,2.0,12.58,315.0,1,0,10.58,528.89
748,2022-09-01,2.0,2.0,10.91,300.0,1,0,8.91,445.69
2372,2022-09-01,210.0,36.0,31.25,504.93,41,1,4.75,13.2
728,2022-09-01,188.0,14.0,16.36,203.85,4,1,2.36,16.86
2409,2022-09-01,10.0,15.0,14.72,2667.33,3,0,0.28,1.85
723,2022-09-01,326.0,3.0,13.54,63.35,2,1,10.54,351.37
2407,2022-09-01,130.0,6.0,16.14,2023.38,37,1,10.14,169.07
715,2022-09-01,140.0,30.0,27.83,787.14,7,1,2.17,7.22
715,2022-09-01,30.0,7.0,18.6,806.25,16,1,11.6,165.75
2404,2022-09-01,16.0,7.0,10.52,7500.0,8,0,3.52,50.3
2404,2022-09-01,22.0,16.0,11.07,6291.5,8,0,4.93,30.84
2394,2022-09-01,18.0,31.0,19.92,12461.54,13,0,11.08,35.73
2394,2022-09-01,12.0,18.0,24.36,9166.67,6,0,6.36,35.32
720,2022-09-01,32.0,11.0,23.7,315.92,2,1,12.7,115.44
720,2022-09-01,11.0,1.0,20.34,600.0,6,1,19.34,1934.46
722,2022-09-01,187.0,7.0,16.43,83.95,2,1,9.43,134.73
722,2022-09-01,7.0,14.0,11.97,500.0,7,0,2.03,14.48
723,2022-09-01,3.0,1.0,12.01,700.0,2,0,11.01,1101.02
238,2022-09-01,8.0,5.0,10.32,301250.0,8,0,5.32,106.48
2389,2022-09-01,8.0,12.0,15.43,18500.0,8,0,3.43,28.58
2389,2022-09-01,300.0,8.0,19.92,8601.65,3,1,11.92,148.95
2388,2022-09-01,4.0,4.0,9.36,16600.0,4,0,5.36,133.9
2388,2022-09-01,8.0,4.0,10.95,14400.0,6,0,6.95,173.79
725,2022-09-01,33.0,4.0,11.67,23.83,1,1,7.67,191.66
725,2022-09-01,4.0,2.0,16.22,800.0,2,0,14.22,711.22
2384,2022-09-01,6.0,10.0,9.84,45000.0,6,0,0.16,1.65
2384,2022-09-01,2.0,6.0,10.9,47250.0,2,0,4.9,81.66
726,2022-09-01,3.0,3.0,9.22,600.0,1,0,6.22,207.43
2381,2022-09-01,1.0,1.0,10.07,122300.0,1,0,9.07,906.81
2381,2022-09-01,2.0,1.0,10.33,99750.0,2,0,9.33,933.0
226,2022-09-01,6.0,27.0,15.14,19333.21,2,0,11.86,43.93
226,2022-09-01,2.0,6.0,12.5,200000.0,2,0,6.5,108.34
753,2022-09-01,3.0,5.0,10.55,500.0,1,0,5.55,111.06
862,2022-09-01,2.0,1.0,8.41,950.0,2,0,7.41,740.59
2193,2022-09-01,40.0,3.0,12.96,1250.5,2,1,9.96,331.93
218,2022-09-01,22.0,39.0,21.28,147633.33,21,0,17.72,45.44
218,2022-09-01,10.0,22.0,20.11,145250.0,8,0,1.89,8.57
850,2022-09-01,2.0,8.0,16.15,1000.0,1,0,8.15,101.84
2172,2022-09-01,130.0,30.0,22.21,790.79,38,1,7.79,25.95
217,2022-09-01,10.0,12.0,13.95,169031.28,10,0,1.95,16.24
857,2022-09-01,14.0,6.0,15.32,3150.0,4,0,9.32,155.37
2168,2022-09-01,2.0,3.0,9.26,31000.0,2,0,6.26,208.56
857,2022-09-01,6.0,20.0,15.52,3200.0,2,0,4.48,22.4
2167,2022-09-01,6.0,4.0,15.17,24116.67,6,0,11.17,279.21
2167,2022-09-01,2.0,6.0,13.67,33250.0,2,0,7.67,127.88
2166,2022-09-01,3.0,8.0,11.27,23000.0,3,0,3.27,40.86
2256,2022-09-01,10.0,1.0,12.61,37659.93,1,0,11.61,1161.48
863,2022-09-01,4.0,1.0,7.15,3000.0,2,0,6.15,614.55
2160,2022-09-01,1.0,10.0,9.62,6500.0,1,0,0.38,3.77
2160,2022-09-01,1.0,1.0,8.93,6825.0,1,0,7.93,792.67
879,2022-09-01,1.0,16.0,10.56,3150.0,1,0,5.44,34.03
879,2022-09-01,16.0,23.0,12.92,3200.0,10,0,10.08,43.84
216,2022-09-01,11.0,1.0,8.58,72284.0,3,0,7.58,757.67
216,2022-09-01,1.0,11.0,11.5,90000.0,1,0,0.5,4.57
2156,2022-09-01,1.0,6.0,8.58,83273.43,1,0,2.58,42.99
881,2022-09-01,2.0,7.0,10.2,2562.5,2,0,3.2,45.66
2153,2022-09-01,2.0,6.0,8.23,2500.0,1,0,2.23,37.17
2153,2022-09-01,12.0,2.0,10.72,2028.57,7,0,8.72,436.22
2193,2022-09-01,3.0,5.0,13.44,2600.0,3,0,8.44,168.86
819,2022-09-01,9.0,38.0,20.98,1066.67,9,0,17.02,44.79
2203,2022-09-01,8.0,4.0,6.76,2500.0,6,0,2.76,69.12
2205,2022-09-01,3.0,1.0,9.72,7350.0,2,0,8.72,872.02
2256,2022-09-01,2.0,10.0,10.38,50000.0,2,0,0.38,3.8
791,2022-09-01,9.0,2.0,12.05,875.0,8,0,10.05,502.39
225,2022-09-01,8.0,16.0,9.29,478250.0,8,0,6.71,41.95
225,2022-09-01,1.0,8.0,11.39,477750.0,1,0,3.39,42.32
2246,2022-09-01,16.0,60.0,17.4,1.0,1,1,42.6,71.0
2244,2022-09-01,20.0,4.0,15.69,500.0,1,1,11.69,292.24
2244,2022-09-01,35.0,20.0,19.7,762.75,4,1,0.3,1.5
2240,2022-09-01,61.0,63.0,32.7,2552.27,44,1,30.3,48.09
2240,2022-09-01,16.0,61.0,26.43,1675.33,3,0,34.57,56.67
792,2022-09-01,4.0,6.0,15.42,500.0,1,0,9.42,157.03
792,2022-09-01,6.0,2.0,8.07,500.0,3,0,6.07,303.4
2239,2022-09-01,6.0,12.0,12.88,3133.33,3,0,0.88,7.3
2239,2022-09-01,4.0,6.0,18.74,3000.0,1,0,12.74,212.42
2228,2022-09-01,6.0,14.0,13.48,20087.75,4,0,0.52,3.7
798,2022-09-01,4.0,20.0,24.7,3000.0,2,0,4.7,23.52
798,2022-09-01,20.0,24.0,15.38,3177.78,9,0,8.62,35.9
2213,2022-09-01,5.0,7.0,20.8,83600.0,5,0,13.8,197.21
2213,2022-09-01,11.0,5.0,21.54,95426.46,6,0,16.54,330.89
818,2022-09-01,3.0,7.0,15.86,1133.33,3,0,8.86,126.56
818,2022-09-01,7.0,9.0,13.11,866.67,3,0,4.11,45.69
221,2022-09-01,8.0,4.0,12.09,126249.51,5,0,8.09,202.16
221,2022-09-01,3.0,8.0,11.11,155000.0,3,0,3.11,38.85
2205,2022-09-01,1.0,52.0,14.6,7000.0,1,0,37.4,71.93
2408,2022-09-01,4.0,14.0,12.4,2625.0,3,0,1.6,11.43
714,2022-09-01,101.0,75.0,50.9,629.49,2,1,24.1,32.14
215,2022-09-01,1.0,6.0,10.5,115500.0,1,0,4.5,75.02
270,2022-09-01,5.0,4.0,12.15,31200.0,5,0,8.15,203.75
274,2022-09-01,35.0,27.0,9.22,7478.61,14,0,17.78,65.86
694,2022-09-01,108.0,25.0,33.48,4781.82,55,1,8.48,33.91
2727,2022-09-01,11.0,20.0,11.24,14777.25,2,0,8.76,43.81
2727,2022-09-01,7.0,11.0,9.1,10100.5,1,0,1.9,17.26
271,2022-09-01,115.0,18.0,13.53,30177.19,21,1,4.47,24.82
695,2022-09-01,49.0,67.0,58.56,4951.17,24,1,8.44,12.6
695,2022-09-01,67.0,32.0,31.32,5606.71,41,1,0.68,2.12
2703,2022-09-01,5.0,2.0,8.31,123588.68,4,0,6.31,315.5
696,2022-09-01,4.0,5.0,14.22,4066.67,3,0,9.22,184.31
696,2022-09-01,5.0,2.0,12.62,4635.0,5,0,10.62,531.18
270,2022-09-01,4.0,25.0,11.06,30525.0,4,0,13.94,55.75
2696,2022-09-01,2.0,5.0,7.59,34200.59,1,0,2.59,51.83
2757,2022-09-01,47.0,4.0,19.9,19770.27,4,0,15.9,397.61
697,2022-09-01,9.0,13.0,10.63,4555.0,5,0,2.37,18.24
697,2022-09-01,13.0,6.0,10.57,4766.67,12,0,4.57,76.14
2685,2022-09-01,30.0,77.0,18.03,19819.43,7,0,58.97,76.58
2685,2022-09-01,12.0,30.0,27.55,21030.0,8,0,2.45,8.17
698,2022-09-01,7.0,38.0,28.35,4080.0,5,0,9.65,25.4
268,2022-09-01,2.0,10.0,13.95,31100.0,1,0,3.95,39.52
268,2022-09-01,7.0,2.0,15.0,15628.29,7,0,13.0,650.23
698,2022-09-01,38.0,51.0,17.1,3931.67,6,1,33.9,66.47
2660,2022-09-01,11.0,8.0,15.35,26818.18,10,0,7.35,91.87
2660,2022-09-01,2.0,11.0,20.49,35000.0,2,0,9.49,86.31
699,2022-09-01,1.0,41.0,22.01,4200.0,1,0,18.99,46.31
2752,2022-09-01,10.0,70.0,10.51,2900.0,1,0,59.49,84.98
2757,2022-09-01,4.0,7.0,14.39,21400.0,3,0,7.39,105.63
241,2022-09-01,37.0,49.0,40.38,4156.52,23,1,8.62,17.59
687,2022-09-01,49.0,3.0,10.18,14633.33,3,0,7.18,239.21
686,2022-09-01,48.0,34.0,16.65,13359.71,2,0,17.35,51.03
2875,2022-09-01,3.0,1.0,10.61,32000.0,3,0,9.61,961.29
2875,2022-09-01,1.0,3.0,9.47,30000.0,1,0,6.47,215.54
2874,2022-09-01,3.0,5.0,10.3,29833.33,3,0,5.3,105.94
2874,2022-09-01,1.0,3.0,11.03,29000.0,1,0,8.03,267.66
686,2022-09-01,34.0,7.0,13.73,16956.25,16,0,6.73,96.1
2873,2022-09-01,2.0,24.0,11.09,2500.0,1,0,12.91,53.81
2869,2022-09-01,18.0,10.0,19.07,31133.33,12,0,9.07,90.72
2869,2022-09-01,4.0,18.0,19.53,1.0,1,1,1.53,8.48
284,2022-09-01,128.0,4.0,10.35,3731.2,25,1,6.35,158.87
687,2022-09-01,36.0,49.0,17.65,11522.81,2,0,31.35,63.98
280,2022-09-01,6.0,15.0,15.52,17100.0,3,0,0.52,3.46
276,2022-09-01,1.0,9.0,12.47,17000.0,1,0,3.47,38.51
280,2022-09-01,6.0,6.0,15.99,16800.0,3,0,9.99,166.51
688,2022-09-01,30.0,30.0,26.12,16900.0,15,0,3.88,12.93
279,2022-09-01,109.0,10.0,8.51,2254.09,12,1,1.49,14.86
690,2022-09-01,98.0,20.0,15.81,20155.6,5,1,4.19,20.93
278,2022-09-01,11.0,5.0,12.84,3454.55,10,0,7.84,156.74
278,2022-09-01,9.0,11.0,22.66,4022.22,8,0,11.66,105.96
692,2022-09-01,177.0,68.0,47.86,6153.35,60,1,20.14,29.62
2778,2022-09-01,24.0,1.0,10.42,6434.0,1,0,9.42,941.65
2772,2022-09-01,1.0,2.0,8.23,2000.0,1,0,6.23,311.25
277,2022-09-01,2.0,41.0,18.85,10000.0,2,0,22.15,54.01
276,2022-09-01,9.0,1.0,11.79,13025.0,8,0,10.79,1079.09
699,2022-09-01,41.0,17.0,15.41,5053.85,26,1,1.59,9.37
266,2022-09-01,2.0,53.0,9.31,20000.0,2,0,43.69,82.44
700,2022-09-01,90.0,13.0,30.82,3569.96,63,1,17.82,137.05
709,2022-09-01,42.0,4.0,14.8,1556.21,17,1,10.8,269.97
250,2022-09-01,20.0,10.0,10.92,10800.0,2,0,0.92,9.24
250,2022-09-01,13.0,20.0,11.51,14437.5,8,0,8.49,42.45
2499,2022-09-01,5.0,7.0,7.86,252650.0,4,0,0.86,12.31
2499,2022-09-01,5.0,5.0,8.98,146885.04,1,0,3.98,79.57
708,2022-09-01,100.0,5.0,10.89,1759.0,5,1,5.89,117.8
249,2022-09-01,17.0,15.0,10.99,12436.36,11,0,4.01,26.72
2482,2022-09-01,23.0,14.0,18.59,2063.64,21,1,4.59,32.75
2482,2022-09-01,11.0,23.0,27.4,2080.0,5,0,4.4,19.14
709,2022-09-01,32.0,42.0,23.72,1236.6,3,1,18.28,43.52
2481,2022-09-01,34.0,2.0,8.65,8667.0,5,0,6.65,332.72
2481,2022-09-01,10.0,34.0,11.25,20750.0,5,0,22.75,66.9
710,2022-09-01,99.0,22.0,15.5,871.6,6,1,6.5,29.57
2656,2022-09-01,7.0,1.0,7.36,10600.0,7,0,6.36,636.28
2465,2022-09-01,150.0,52.0,46.45,472.5,1,1,5.55,10.68
246,2022-09-01,8.0,1.0,9.52,3237.57,2,0,8.52,851.66
710,2022-09-01,22.0,3.0,12.46,1453.31,6,1,9.46,315.37
2438,2022-09-01,85.0,3.0,8.36,1288.89,9,1,5.36,178.77
2437,2022-09-01,9.0,1.0,7.43,10250.33,3,0,6.43,643.14
712,2022-09-01,93.0,2.0,11.32,341.77,1,1,9.32,466.18
2430,2022-09-01,27.0,8.0,7.88,1300.0,4,1,0.12,1.48
2430,2022-09-01,1.0,27.0,13.84,1550.0,1,0,13.16,48.74
713,2022-09-01,86.0,27.0,26.87,1003.95,38,1,0.13,0.47
243,2022-09-01,3.0,2.0,8.6,3075.0,2,0,6.6,329.84
241,2022-09-01,49.0,67.0,45.31,4138.46,26,1,21.69,32.38
2501,2022-09-01,10.0,29.0,18.95,280000.0,10,0,10.05,34.67
2506,2022-09-01,3.0,72.0,32.71,5733.33,3,0,39.29,54.57
705,2022-09-01,11.0,2.0,9.35,3592.86,7,0,7.35,367.4
705,2022-09-01,2.0,11.0,11.36,3000.0,2,0,0.36,3.29
2656,2022-09-01,14.0,7.0,10.63,6000.5,2,0,3.63,51.85
2645,2022-09-01,6.0,39.0,24.21,840.0,1,0,14.79,37.92
701,2022-09-01,3.0,32.0,20.58,3995.0,2,0,11.42,35.7
264,2022-09-01,2.0,3.0,11.43,68250.0,2,0,8.43,280.99
701,2022-09-01,32.0,5.0,10.17,4202.17,23,1,5.17,103.37
2637,2022-09-01,13.0,9.0,9.82,16915.38,13,0,0.82,9.11
263,2022-09-01,14.0,12.0,12.7,52246.15,13,0,0.7,5.8
263,2022-09-01,2.0,14.0,9.3,52500.0,2,0,4.7,33.59
702,2022-09-01,5.0,2.0,10.7,3320.2,5,0,8.7,435.05
261,2022-09-01,6.0,32.0,21.15,28800.0,4,0,10.85,33.91
261,2022-09-01,9.0,6.0,11.33,29000.0,3,0,5.33,88.86
2556,2022-09-01,14.0,29.0,12.02,2040.0,5,0,16.98,58.54
2552,2022-09-01,2.0,6.0,10.07,15000.0,1,0,4.07,67.77
703,2022-09-01,9.0,1.0,9.51,3700.0,7,0,8.51,850.52
2542,2022-09-01,21.0,1.0,6.21,155300.0,11,0,5.21,521.45
2542,2022-09-01,1.0,21.0,13.42,5362.66,1,0,7.58,36.11
254,2022-09-01,4.0,38.0,15.27,13100.0,4,0,22.73,59.81
2533,2022-09-01,87.0,9.0,15.75,12669.64,54,1,6.75,74.98
704,2022-09-01,10.0,12.0,19.43,2500.0,7,0,7.43,61.88
704,2022-09-01,12.0,52.0,30.25,3100.0,9,0,21.75,41.84
