Código Producto,Fecha,Ventas Actuales,Ventas Reales Futuras,Ventas Predichas,Precio Promedio,Frecuencia,Cluster,Error Absoluto ($),Error (%)
1592,2022-12-01,3.0,14.0,18.88,65750.0,2,0,4.88,34.87
2475,2022-12-01,1.0,6.0,10.9,1055.0,1,0,4.9,81.68
312,2022-12-01,6.0,26.0,23.25,42500.5,2,0,2.75,10.57
709,2022-12-01,34.0,1.0,10.38,1316.66,3,1,9.38,937.63
4203,2022-12-01,29.0,70.0,57.67,4437.5,4,0,12.33,17.61
1350,2022-12-01,19.0,58.0,32.76,827.6,5,1,25.24,43.51
1963,2022-12-01,27.0,13.0,11.04,6977.52,5,0,1.96,15.11
1052,2022-12-01,6.5,10.0,15.29,202962.0,2,0,5.29,52.93
T240,2022-12-01,4.0,8.0,15.19,633.0,1,0,7.19,89.86
2481,2022-12-01,4.0,16.0,12.99,15000.0,2,0,3.01,18.81
708,2022-12-01,37.0,2.0,11.25,1708.95,5,1,9.25,462.41
1342,2022-12-01,2.0,30.0,20.79,13000.0,1,0,9.21,30.69
313,2022-12-01,3.0,34.0,25.33,98525.0,3,0,8.67,25.49
2389,2022-12-01,16.0,69.0,22.21,16093.75,12,0,46.79,67.81
977,2022-12-01,4.0,2.0,7.25,30898.35,1,0,5.25,262.55
239,2022-12-01,1.0,3.0,11.37,290000.0,1,0,8.37,279.14
1617,2022-12-01,1.0,22.0,7.96,6857.5,1,0,14.04,63.82
3157,2022-12-01,10.0,1.0,9.73,133532.5,8,0,8.73,873.28
38,2022-12-01,2.0,1.0,9.45,290000.0,2,0,8.45,845.12
1610,2022-12-01,5.0,14.0,14.15,309355.0,5,0,0.15,1.08
207,2022-12-01,1.0,1.0,8.19,162000.0,1,0,7.19,719.39
2394,2022-12-01,3.0,35.0,27.46,10366.67,3,0,7.54,21.54
1797,2022-12-01,5.0,3.0,13.58,51635.29,1,0,10.58,352.57
240,2022-12-01,1.0,9.0,9.22,250000.0,1,0,0.22,2.42
1072,2022-12-01,2.0,9.5,10.77,140000.0,1,0,1.27,13.36
T6546,2022-12-01,4.0,73.0,29.78,822.0,2,0,43.22,59.2
3155,2022-12-01,43.0,14.0,19.34,20437.04,25,0,5.34,38.16
715,2022-12-01,2.0,36.0,28.93,59.95,2,1,7.07,19.65
1608,2022-12-01,1.0,4.0,16.27,85000.0,1,0,12.27,306.68
4205,2022-12-01,3.0,8.0,19.85,3335.0,1,0,11.85,148.11
380,2022-12-01,8.0,1.0,13.44,66171.86,4,0,12.44,1243.81
906,2022-12-01,11.0,12.0,18.6,29600.0,5,0,6.6,55.04
1329,2022-12-01,5.0,24.0,21.36,20520.0,5,0,2.64,10.99
2407,2022-12-01,14.0,8.0,15.84,1591.67,6,0,7.84,98.03
T8720,2022-12-01,6.0,1.0,9.19,193.75,3,1,8.19,819.42
442,2022-12-01,2.0,61.0,32.22,38000.0,1,0,28.78,47.18
500,2022-12-01,2.0,58.0,32.71,15000.0,2,0,25.29,43.6
1607,2022-12-01,11.0,54.0,41.91,86860.71,7,0,12.09,22.38
1070,2022-12-01,6.5,29.5,25.75,172448.0,5,0,3.75,12.7
713,2022-12-01,21.0,32.0,32.88,1227.5,11,1,0.88,2.75
2052,2022-12-01,3.0,1.0,11.23,32732.48,2,0,10.23,1023.31
1798,2022-12-01,6.0,11.0,13.59,117346.21,4,0,2.59,23.55
241,2022-12-01,36.0,69.0,60.39,4163.33,15,1,8.61,12.48
1794,2022-12-01,1.0,7.0,14.2,22600.0,1,0,7.2,102.87
2283,2022-12-01,2.0,14.0,11.3,12500.0,1,0,2.7,19.28
2089,2022-12-01,1.0,15.0,11.3,21600.0,1,0,3.7,24.65
1712,2022-12-01,33.0,63.0,39.48,845.2,5,1,23.52,37.33
1749,2022-12-01,4.0,56.0,26.04,1018.33,3,0,29.96,53.5
2191,2022-12-01,14.0,12.0,16.49,209.43,7,1,4.49,37.39
1124,2022-12-01,15.0,34.0,16.98,6651.62,1,0,17.02,50.06
584,2022-12-01,9.0,34.0,24.27,27211.0,5,0,9.73,28.61
T6509,2022-12-01,26.0,14.0,15.6,256.88,4,1,1.6,11.39
961,2022-12-01,3.0,18.0,18.62,104805.0,2,0,0.62,3.43
879,2022-12-01,4.0,12.0,10.42,3000.0,2,0,1.58,13.17
2193,2022-12-01,6.0,1.0,8.78,2695.83,3,0,7.78,778.14
430,2022-12-01,6.0,56.0,39.55,34750.0,4,0,16.45,29.38
1114,2022-12-01,23.0,78.0,57.94,11666.74,4,0,20.06,25.72
622,2022-12-01,7.0,19.0,19.75,1723.38,4,0,0.75,3.93
220,2022-12-01,1.0,20.0,12.71,73000.0,1,0,7.29,36.45
637,2022-12-01,2.0,13.0,11.3,8000.0,1,0,1.7,13.09
2208,2022-12-01,2.0,8.0,15.24,1000.0,1,0,7.24,90.44
